oid,x,y,d,theta,phi,true_d,,,,
0,-12000,-12000,0.0079186,0.54105,-0.19199,0.0041057,,,,
0,-12000,-11172,0.012395,0.54105,-0.19199,0.0044479,,,,
0,-12000,-10345,0.013203,0.54105,-0.19199,0.0048048,,,,
0,-12000,-9517.2,0.0090001,0.54105,-0.19199,0.0051711,,,,0.325097692
0,-12000,-8689.7,0.0061009,0.54105,-0.19199,0.0055398,,,,325097.6917
0,-12000,-7862.1,0.017206,0.54105,-0.19199,0.005902,,,,32509769.17
0,-12000,-7034.5,0.015926,0.54105,-0.19199,0.0062468,,,,
0,-12000,-6206.9,0.018098,0.54105,-0.19199,0.0065621,,,,
0,-12000,-5379.3,0.018705,0.54105,-0.19199,0.0068346,,,,
0,-12000,-4551.7,0.019441,0.54105,-0.19199,0.0070515,,,,
0,-12000,-3724.1,0.012264,0.54105,-0.19199,0.0072013,,,,
0,-12000,-2896.6,0.016729,0.54105,-0.19199,0.007275,,,,
0,-12000,-2069,0.012528,0.54105,-0.19199,0.0072675,,,,
0,-12000,-1241.4,0.013999,0.54105,-0.19199,0.0071779,,,,
0,-12000,-413.79,0.0090264,0.54105,-0.19199,0.0070099,,,,
0,-12000,413.79,0.012541,0.54105,-0.19199,0.0067716,,,,
0,-12000,1241.4,0.0090365,0.54105,-0.19199,0.006474,,,,
0,-12000,2069,0.0032573,0.54105,-0.19199,0.0061304,,,,
0,-12000,2896.6,-0.0021827,0.54105,-0.19199,0.0057547,,,,
0,-12000,3724.1,-0.008149,0.54105,-0.19199,0.0053605,,,,
0,-12000,4551.7,-0.0089098,0.54105,-0.19199,0.0049598,,,,
0,-12000,5379.3,0.00040083,0.54105,-0.19199,0.0045628,,,,
0,-12000,6206.9,-0.0073592,0.54105,-0.19199,0.0041776,,,,
0,-12000,7034.5,0.0064578,0.54105,-0.19199,0.0038103,,,,
0,-12000,7862.1,-0.0044202,0.54105,-0.19199,0.0034647,,,,
0,-12000,8689.7,-0.0023454,0.54105,-0.19199,0.0031431,,,,
0,-12000,9517.2,-0.0032387,0.54105,-0.19199,0.0028467,,,,
0,-12000,10345,-0.0069835,0.54105,-0.19199,0.0025755,,,,
0,-12000,11172,0.0035292,0.54105,-0.19199,0.0023286,,,,
0,-12000,12000,0.010532,0.54105,-0.19199,0.002105,,,,
0,-11172,-12000,0.014431,0.54105,-0.19199,0.0044206,,,,
0,-11172,-11172,0.0126,0.54105,-0.19199,0.0048209,,,,
0,-11172,-10345,0.0090848,0.54105,-0.19199,0.0052433,,,,
0,-11172,-9517.2,0.012511,0.54105,-0.19199,0.0056822,,,,
0,-11172,-8689.7,0.011964,0.54105,-0.19199,0.0061296,,,,
0,-11172,-7862.1,0.012635,0.54105,-0.19199,0.0065746,,,,
0,-11172,-7034.5,0.014154,0.54105,-0.19199,0.0070036,,,,
0,-11172,-6206.9,0.019402,0.54105,-0.19199,0.0074006,,,,
0,-11172,-5379.3,0.016896,0.54105,-0.19199,0.0077479,,,,
0,-11172,-4551.7,0.019072,0.54105,-0.19199,0.0080279,,,,
0,-11172,-3724.1,0.019369,0.54105,-0.19199,0.0082242,,,,
0,-11172,-2896.6,0.013769,0.54105,-0.19199,0.008324,,,,
0,-11172,-2069,0.011804,0.54105,-0.19199,0.0083196,,,,
0,-11172,-1241.4,0.014676,0.54105,-0.19199,0.0082096,,,,
0,-11172,-413.79,0.011943,0.54105,-0.19199,0.0079992,,,,
0,-11172,413.79,0.0040247,0.54105,-0.19199,0.0076997,,,,
0,-11172,1241.4,0.0043538,0.54105,-0.19199,0.0073268,,,,
0,-11172,2069,0.0095637,0.54105,-0.19199,0.0068987,,,,
0,-11172,2896.6,-0.0030083,0.54105,-0.19199,0.0064344,,,,
0,-11172,3724.1,-0.0011701,0.54105,-0.19199,0.0059519,,,,
0,-11172,4551.7,-0.0028048,0.54105,-0.19199,0.0054666,,,,
0,-11172,5379.3,-1.36E-05,0.54105,-0.19199,0.0049913,,,,
0,-11172,6206.9,-0.008679,0.54105,-0.19199,0.0045356,,,,
0,-11172,7034.5,-0.0032282,0.54105,-0.19199,0.0041059,,,,
0,-11172,7862.1,-0.0019215,0.54105,-0.19199,0.0037063,,,,
0,-11172,8689.7,-0.012601,0.54105,-0.19199,0.0033387,,,,
0,-11172,9517.2,-0.0060857,0.54105,-0.19199,0.0030035,,,,
0,-11172,10345,-0.0023491,0.54105,-0.19199,0.0026999,,,,
0,-11172,11172,-0.0016844,0.54105,-0.19199,0.0024263,,,,
0,-11172,12000,0.0075712,0.54105,-0.19199,0.0021807,,,,
0,-10345,-12000,0.0010675,0.54105,-0.19199,0.0047546,,,,
0,-10345,-11172,0.0077955,0.54105,-0.19199,0.0052225,,,,
0,-10345,-10345,0.0041309,0.54105,-0.19199,0.0057226,,,,
0,-10345,-9517.2,0.0060247,0.54105,-0.19199,0.0062494,,,,
0,-10345,-8689.7,0.009537,0.54105,-0.19199,0.0067938,,,,
0,-10345,-7862.1,0.0093673,0.54105,-0.19199,0.0073429,,,,
0,-10345,-7034.5,0.013589,0.54105,-0.19199,0.0078797,,,,
0,-10345,-6206.9,0.015928,0.54105,-0.19199,0.0083833,,,,
