oid,x,y,d,theta,phi,true_d,,,
0,-12000,-12000,0.00069109,0.40143,-2.9496,0.00019617,,,
0,-12000,-11172,0.0048143,0.40143,-2.9496,0.00019017,,,
0,-12000,-10345,-7.91E-05,0.40143,-2.9496,0.00018094,,,
0,-12000,-9517.2,-0.0053396,0.40143,-2.9496,0.00016801,,,0.063285
0,-12000,-8689.7,-0.0029592,0.40143,-2.9496,0.00015094,,,0.063871
0,-12000,-7862.1,-0.0020729,0.40143,-2.9496,0.00012941,,,
0,-12000,-7034.5,-0.0013414,0.40143,-2.9496,0.00010325,,,
0,-12000,-6206.9,0.0055719,0.40143,-2.9496,7.25E-05,,,
0,-12000,-5379.3,0.00052419,0.40143,-2.9496,3.75E-05,,,
0,-12000,-4551.7,0.012649,0.40143,-2.9496,-1.06E-06,,,
0,-12000,-3724.1,0.00081781,0.40143,-2.9496,-4.23E-05,,,
0,-12000,-2896.6,-0.0015103,0.40143,-2.9496,-8.51E-05,,,
0,-12000,-2069,0.0086171,0.40143,-2.9496,-0.00012788,,,
0,-12000,-1241.4,0.009637,0.40143,-2.9496,-0.00016933,,,
0,-12000,-413.79,0.01316,0.40143,-2.9496,-0.00020805,,,
0,-12000,413.79,0.0087092,0.40143,-2.9496,-0.00024285,,,
0,-12000,1241.4,-0.0041235,0.40143,-2.9496,-0.00027284,,,
0,-12000,2069,0.0081887,0.40143,-2.9496,-0.00029749,,,
0,-12000,2896.6,0.0057183,0.40143,-2.9496,-0.00031657,,,
0,-12000,3724.1,0.00031816,0.40143,-2.9496,-0.0003302,,,
0,-12000,4551.7,-0.010142,0.40143,-2.9496,-0.00033873,,,
0,-12000,5379.3,-0.01104,0.40143,-2.9496,-0.00034268,,,
0,-12000,6206.9,-0.0038888,0.40143,-2.9496,-0.00034266,,,
0,-12000,7034.5,-0.010863,0.40143,-2.9496,-0.00033934,,,
0,-12000,7862.1,-0.0095884,0.40143,-2.9496,-0.00033335,,,
0,-12000,8689.7,-0.011428,0.40143,-2.9496,-0.00032528,,,
0,-12000,9517.2,-0.0078228,0.40143,-2.9496,-0.00031568,,,
0,-12000,10345,-0.0058634,0.40143,-2.9496,-0.00030499,,,
0,-12000,11172,0.0022629,0.40143,-2.9496,-0.0002936,,,
0,-12000,12000,0.0026785,0.40143,-2.9496,-0.00028181,,,
0,-11172,-12000,-0.0012271,0.40143,-2.9496,0.00034475,,,
0,-11172,-11172,-0.0076233,0.40143,-2.9496,0.0003519,,,
0,-11172,-10345,-0.0045867,0.40143,-2.9496,0.00035616,,,
0,-11172,-9517.2,-0.002122,0.40143,-2.9496,0.00035676,,,
0,-11172,-8689.7,-0.0043955,0.40143,-2.9496,0.00035286,,,
0,-11172,-7862.1,0.0034616,0.40143,-2.9496,0.00034365,,,
0,-11172,-7034.5,0.0003755,0.40143,-2.9496,0.00032841,,,
0,-11172,-6206.9,0.0087886,0.40143,-2.9496,0.00030661,,,
0,-11172,-5379.3,0.0099384,0.40143,-2.9496,0.00027804,,,
0,-11172,-4551.7,0.011802,0.40143,-2.9496,0.00024288,,,
0,-11172,-3724.1,0.0067282,0.40143,-2.9496,0.00020177,,,
0,-11172,-2896.6,0.0091325,0.40143,-2.9496,0.00015585,,,
0,-11172,-2069,0.0080776,0.40143,-2.9496,0.00010666,,,
0,-11172,-1241.4,0.0072795,0.40143,-2.9496,5.60E-05,,,
0,-11172,-413.79,0.015369,0.40143,-2.9496,5.81E-06,,,
0,-11172,413.79,0.015969,0.40143,-2.9496,-4.21E-05,,,
0,-11172,1241.4,0.0040146,0.40143,-2.9496,-8.62E-05,,,
0,-11172,2069,0.0023976,0.40143,-2.9496,-0.00012534,,,
0,-11172,2896.6,-0.0046552,0.40143,-2.9496,-0.00015879,,,
0,-11172,3724.1,-0.009059,0.40143,-2.9496,-0.00018627,,,
0,-11172,4551.7,-0.0038438,0.40143,-2.9496,-0.00020789,,,
0,-11172,5379.3,-0.014918,0.40143,-2.9496,-0.00022399,,,
0,-11172,6206.9,-0.0085946,0.40143,-2.9496,-0.00023514,,,
0,-11172,7034.5,-0.0042536,0.40143,-2.9496,-0.00024197,,,
0,-11172,7862.1,-0.0072931,0.40143,-2.9496,-0.00024515,,,
0,-11172,8689.7,-0.011596,0.40143,-2.9496,-0.00024535,,,
0,-11172,9517.2,-0.012151,0.40143,-2.9496,-0.00024317,,,
0,-11172,10345,-0.0022417,0.40143,-2.9496,-0.00023913,,,
0,-11172,11172,-0.002157,0.40143,-2.9496,-0.0002337,,,
0,-11172,12000,-0.0012982,0.40143,-2.9496,-0.00022725,,,
0,-10345,-12000,-0.0013982,0.40143,-2.9496,0.00052559,,,
0,-10345,-11172,0.0018255,0.40143,-2.9496,0.00055152,,,
0,-10345,-10345,0.0019965,0.40143,-2.9496,0.00057563,,,
0,-10345,-9517.2,0.00034068,0.40143,-2.9496,0.00059679,,,
0,-10345,-8689.7,0.0010843,0.40143,-2.9496,0.00061363,,,
0,-10345,-7862.1,0.0029545,0.40143,-2.9496,0.00062465,,,
0,-10345,-7034.5,0.0016849,0.40143,-2.9496,0.00062825,,,
